Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Random Forest Classifier,0.8509,0.922,0.7756,0.8231,0.7985,0.6804,0.6813,0.774
Extreme Gradient Boosting,0.8518,0.921,0.7973,0.8108,0.8038,0.6847,0.6851,5.238
Extra Trees Classifier,0.8567,0.9189,0.7793,0.834,0.8056,0.6923,0.6934,0.732
CatBoost Classifier,0.8455,0.918,0.7816,0.8073,0.7941,0.6705,0.6709,3.5
Light Gradient Boosting Machine,0.8466,0.9159,0.7876,0.8059,0.7965,0.6735,0.6737,0.204
Gradient Boosting Classifier,0.8352,0.9127,0.7681,0.7936,0.7803,0.6485,0.6491,0.4
Linear Discriminant Analysis,0.8103,0.8979,0.5803,0.8816,0.6997,0.5696,0.5963,0.034
Ada Boost Classifier,0.8223,0.8974,0.7425,0.7821,0.7611,0.6199,0.6212,0.21
Logistic Regression,0.8246,0.897,0.6539,0.8515,0.7396,0.6108,0.623,0.864
Naive Bayes,0.5525,0.8662,0.9474,0.4582,0.6176,0.2132,0.3049,0.022
K Neighbors Classifier,0.8109,0.8639,0.696,0.7842,0.7373,0.5904,0.5931,0.16
Decision Tree Classifier,0.7845,0.7733,0.726,0.7149,0.7201,0.545,0.5454,0.032
Quadratic Discriminant Analysis,0.4352,0.5613,0.9669,0.4003,0.5661,0.0587,0.1376,0.03
SVM - Linear Kernel,0.778,0.0,0.6842,0.7437,0.6824,0.519,0.5396,0.026
Ridge Classifier,0.8109,0.0,0.5796,0.8845,0.7001,0.5706,0.5979,0.032
